step,pend_rad,arm_rad,pend_vel,arm_vel,voltage,late,controller
372,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
373,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
374,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
375,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
376,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
377,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
378,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
379,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
380,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
381,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
382,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
383,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
384,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
385,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
386,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
387,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
388,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
389,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
390,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
391,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
392,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
393,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
394,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
395,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
396,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
397,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
398,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
399,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
400,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
401,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
402,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
403,-0.0031415927223861217,0.0,-0.07853981852531433,0.0,-2.5,0,TQC/DroQ
